,Location,Company_Revenue,python,sql,machine learning,r,hadoop
0,MO,More than $10B (USD),0,1,0,0,0
1,TX,Missing,1,1,1,1,0
2,OR,Missing,1,1,0,1,0
3,DC,Missing,0,0,0,0,0
4,TX,Missing,0,0,0,1,0
5,MD,Missing,0,0,1,0,0
6,NY,Missing,1,1,1,1,0
7,GA,Missing,0,1,1,1,0
8,ID,Missing,1,0,0,1,0
9,MO,Missing,1,0,0,1,0
10,PA,Missing,1,0,1,1,0
11,PA,Missing,1,0,1,1,0
12,TX,Less than $1B (USD),0,0,1,0,0
13,GA,Missing,1,0,1,0,0
14,GA,Less than $1B (USD),1,0,1,0,0
15,FL,Missing,1,0,1,1,0
16,MA,Missing,1,1,1,1,0
17,VA,Missing,1,1,1,1,0
18,NJ,More than $10B (USD),0,0,1,0,0
19,MA,Missing,0,0,1,0,0
20,LA,Missing,1,0,1,1,0
21,MO,More than $10B (USD),0,0,0,0,0
22,MO,More than $10B (USD),0,0,0,0,0
23,NY,Missing,0,1,0,0,0
24,GA,Missing,0,1,0,0,0
25,VA,Missing,1,0,0,1,0
26,LA,Missing,1,0,1,1,0
27,NY,More than $10B (USD),0,0,0,0,0
28,MA,More than $10B (USD),0,0,0,0,0
29,CA,$1B to $5B (USD),1,0,1,0,0
30,CA,$5B to $10B (USD),0,0,1,0,0
31,GA,Missing,1,1,1,1,0
32,CA,More than $10B (USD),0,0,0,0,0
33,MN,Missing,1,1,1,1,0
34,WA,More than $10B (USD),0,0,0,0,0
35,CA,Missing,0,0,1,0,0
36,TX,Missing,0,0,0,0,0
37,WA,More than $10B (USD),1,0,1,0,1
38,NC,Missing,0,0,0,0,0
39,NC,Missing,1,1,0,1,0
40,IL,Missing,1,1,1,1,0
41,CA,$1B to $5B (USD),0,0,1,0,1
42,CA,Missing,1,0,1,0,0
43,NY,$1B to $5B (USD),0,0,1,0,1
44,CO,Missing,0,0,1,0,0
45,UT,Missing,0,0,1,0,0
46,OH,Less than $1B (USD),1,0,1,0,0
47,CA,Missing,0,0,1,0,0
48,USA,Missing,1,0,1,1,0
49,OR,Missing,0,0,0,0,0
50,WA,More than $10B (USD),0,0,0,0,0
51,TX,More than $10B (USD),0,1,0,1,0
52,OH,Missing,0,0,0,0,0
53,FL,$1B to $5B (USD),0,0,1,0,0
54,IL,Missing,0,0,1,0,0
55,AR,More than $10B (USD),0,1,0,1,0
56,VA,Missing,0,0,0,0,0
57,WA,More than $10B (USD),1,1,1,1,0
58,TX,More than $10B (USD),1,1,0,1,0
59,VA,Missing,0,0,0,0,0
60,PA,$5B to $10B (USD),1,1,1,1,0
61,MO,$1B to $5B (USD),1,1,1,1,1
62,NC,More than $10B (USD),1,0,1,1,1
63,ME,Missing,1,1,0,1,0
64,CA,Missing,0,0,0,0,0
65,IL,Missing,1,1,1,1,0
66,NV,$5B to $10B (USD),0,0,0,0,0
67,CT,$1B to $5B (USD),0,0,1,0,0
68,WA,More than $10B (USD),1,0,1,1,1
69,REMOTE,Less than $1B (USD),1,1,1,0,0
70,RI,Missing,1,1,1,1,0
71,PA,More than $10B (USD),0,0,1,1,0
72,NY,Missing,1,1,1,1,1
73,NY,Missing,1,1,1,1,1
74,VA,Less than $1B (USD),0,0,0,0,0
75,FL,Missing,1,0,0,1,0
76,TN,Missing,0,1,1,1,0
77,FL,More than $10B (USD),0,0,0,0,0
78,NY,Missing,1,1,1,1,0
79,MA,More than $10B (USD),1,1,1,0,0
80,TX,Missing,1,1,1,1,0
81,WA,Less than $1B (USD),1,1,1,1,0
82,WI,Missing,1,0,1,1,0
83,DC,Missing,0,0,0,0,0
84,SC,Missing,0,1,0,0,0
85,DC,Missing,0,0,0,0,0
86,MO,Missing,1,1,0,1,0
87,IL,More than $10B (USD),1,1,1,1,0
88,CA,Missing,1,0,0,0,0
89,MA,Missing,0,0,1,0,0
90,MI,$5B to $10B (USD),0,1,0,0,0
91,PA,Missing,0,0,1,0,0
92,NY,Missing,0,1,0,0,0
93,NY,Missing,1,1,1,1,0
94,CA,Missing,0,0,1,0,1
95,KY,Missing,1,1,1,1,0
96,MA,Missing,1,1,1,0,0
97,AZ,Missing,1,1,0,1,0
98,NV,$5B to $10B (USD),0,1,1,1,0
99,FL,$1B to $5B (USD),1,1,0,1,0
100,WA,More than $10B (USD),1,0,0,1,0
101,GA,Missing,0,1,1,1,0
102,PA,$1B to $5B (USD),1,1,1,1,0
103,MA,More than $10B (USD),1,1,1,1,0
104,VA,Missing,1,1,0,1,1
105,IL,Less than $1B (USD),1,1,1,1,0
106,UT,$5B to $10B (USD),1,1,1,1,0
107,NC,Less than $1B (USD),1,1,1,1,0
108,NY,Missing,1,1,1,1,1
109,MA,More than $10B (USD),1,1,0,1,0
110,DC,Missing,0,0,0,0,0
111,CO,Missing,1,1,0,0,0
112,NE,Missing,0,1,0,0,0
113,TX,Missing,1,1,1,1,0
114,FL,Missing,1,0,0,1,0
115,NY,Missing,1,1,0,0,0
116,MD,Missing,1,0,0,1,0
117,IN,Missing,1,1,1,1,0
118,USA,Missing,1,1,0,1,0
119,MN,More than $10B (USD),1,0,0,1,0
120,TX,Missing,0,0,1,0,0
121,MD,Missing,0,0,0,1,0
122,CA,$1B to $5B (USD),0,0,1,0,0
123,PA,Missing,1,0,1,1,0
124,PA,Missing,1,0,1,1,0
125,PA,More than $10B (USD),0,0,1,0,0
126,AR,More than $10B (USD),0,1,0,1,0
127,CA,Missing,1,1,1,1,0
128,TX,$5B to $10B (USD),0,0,1,0,0
129,MI,$5B to $10B (USD),1,1,1,1,1
130,WA,Missing,0,0,1,0,0
131,NY,Missing,1,0,1,1,0
132,MI,More than $10B (USD),1,0,1,1,0
133,PA,More than $10B (USD),0,0,1,1,0
134,FL,$1B to $5B (USD),1,1,0,1,0
135,VA,Missing,1,1,0,1,0
136,MD,Missing,1,0,1,1,0
137,PA,Missing,0,0,0,1,0
138,OH,Missing,0,1,0,1,0
139,TX,Missing,0,0,0,0,0
140,CO,More than $10B (USD),0,1,0,1,0
141,MO,Less than $1B (USD),0,1,0,0,0
142,CA,Missing,1,0,0,0,0
143,MN,Missing,1,1,0,1,0
144,MN,$1B to $5B (USD),0,0,1,0,0
145,TX,Missing,0,0,0,0,0
146,CO,Missing,1,0,0,1,0
147,USA,More than $10B (USD),0,0,1,0,0
148,FL,$1B to $5B (USD),0,1,1,1,0
149,TX,More than $10B (USD),0,0,1,0,0
150,NE,$1B to $5B (USD),1,1,1,1,0
151,TX,Missing,0,0,0,1,0
152,MN,Less than $1B (USD),0,0,0,0,0
153,GA,$5B to $10B (USD),0,1,0,0,0
154,VA,Missing,1,1,0,1,0
155,CA,More than $10B (USD),1,1,1,1,0
156,VA,Missing,1,0,1,1,1
157,MA,Missing,0,0,1,1,0
158,CA,More than $10B (USD),1,0,1,1,0
159,NC,Less than $1B (USD),1,1,1,1,0
160,CO,Missing,1,1,1,1,1
161,WI,Missing,1,1,1,0,0
162,USA,Missing,1,1,1,1,0
163,MD,Missing,1,0,1,1,0
164,CA,Missing,1,1,1,1,0
165,NM,Missing,0,0,0,1,0
166,GA,Less than $1B (USD),1,0,1,0,0
167,GA,$5B to $10B (USD),0,1,0,0,0
168,TX,More than $10B (USD),1,0,1,0,0
169,TX,More than $10B (USD),0,0,0,0,0
170,FL,More than $10B (USD),1,1,1,1,1
171,AZ,Missing,1,1,0,1,0
172,MI,Missing,1,0,1,1,0
173,AZ,Less than $1B (USD),1,0,1,1,0
174,OH,$1B to $5B (USD),0,1,0,1,0
175,VA,Missing,0,0,0,0,0
176,CO,Missing,1,1,0,1,0
177,CO,Missing,1,1,0,1,0
178,NC,$1B to $5B (USD),1,0,1,1,0
179,NY,More than $10B (USD),0,0,1,0,1
180,GA,Less than $1B (USD),1,0,1,0,0
181,CA,Missing,0,0,1,0,0
182,OH,Missing,1,1,0,1,0
183,OH,Missing,1,1,0,1,0
184,TX,Missing,1,1,1,1,1
185,VA,Missing,0,0,0,0,0
186,GA,Missing,1,1,1,0,0
187,TX,Missing,1,1,1,1,0
188,VA,$1B to $5B (USD),1,1,1,1,1
189,IN,More than $10B (USD),1,0,1,1,0
190,IN,More than $10B (USD),1,0,1,1,0
191,IN,More than $10B (USD),1,0,1,1,0
192,AR,$5B to $10B (USD),0,0,1,1,0
193,MI,More than $10B (USD),1,1,1,0,1
194,MD,Missing,0,1,0,1,0
195,TX,Less than $1B (USD),0,0,1,0,0
196,NJ,Missing,0,0,0,0,0
197,PA,Missing,1,1,1,0,0
198,CO,Missing,1,0,0,1,0
199,TN,Missing,1,1,1,0,0
200,IL,Missing,1,1,1,0,0
201,AL,Missing,1,1,0,1,0
202,AL,Missing,1,1,0,1,0
203,PA,Missing,1,1,0,1,0
204,CA,Less than $1B (USD),1,1,0,0,0
205,NC,$5B to $10B (USD),1,0,1,1,1
206,MD,More than $10B (USD),1,1,0,1,0
207,IL,$5B to $10B (USD),1,0,0,1,0
208,MD,Missing,1,1,0,1,0
209,AZ,Missing,1,0,1,1,0
210,CO,Missing,1,0,0,0,0
211,CT,More than $10B (USD),1,1,1,1,1
212,CO,Missing,1,1,0,1,0
213,MD,Missing,0,0,1,1,0
214,VA,More than $10B (USD),1,1,1,0,0
215,NE,Less than $1B (USD),1,0,1,1,0
216,NV,$1B to $5B (USD),1,1,1,1,0
217,VA,Missing,1,1,0,1,0
218,MD,Missing,1,1,1,1,0
219,WA,Missing,1,1,1,1,0
220,MO,Missing,1,1,0,1,0
221,CO,Missing,1,1,1,0,0
222,CO,Missing,1,1,1,0,0
223,CA,Missing,0,0,1,0,0
224,AL,Missing,1,1,0,1,0
225,VA,$5B to $10B (USD),1,1,1,0,1
226,NY,More than $10B (USD),0,0,1,0,0
227,TN,Missing,0,1,0,0,0
228,AZ,$1B to $5B (USD),1,1,1,1,0
229,GA,Missing,1,1,1,0,0
230,GA,Missing,1,1,1,0,0
231,TX,Missing,1,1,1,0,0
232,MD,Missing,0,0,1,0,0
233,VA,Missing,0,0,0,0,0
234,NY,Missing,1,1,1,0,0
235,NY,Missing,1,1,0,1,1
236,MA,Missing,0,0,1,0,0
237,IL,Missing,1,1,1,0,0
238,DC,Missing,1,1,1,0,0
239,TX,Missing,1,1,1,0,0
240,VA,Missing,1,1,0,1,0
241,NV,More than $10B (USD),1,1,1,1,0
242,CA,Missing,1,0,1,0,0
243,MA,Missing,1,0,1,0,0
244,DC,Missing,1,1,1,0,0
245,PA,Missing,1,1,1,0,0
246,GA,Missing,1,1,1,0,0
247,NV,$1B to $5B (USD),1,1,1,1,0
248,MD,Missing,1,1,1,0,0
249,WA,Missing,1,1,1,0,0
250,MO,Missing,1,1,0,1,1
251,CA,Missing,1,0,1,0,0
252,AZ,Missing,1,1,1,1,1
253,VA,Missing,1,1,0,1,0
254,CO,Missing,1,1,1,0,0
255,VA,Missing,1,1,1,0,0
256,NY,Missing,0,0,1,0,0
257,MA,Missing,1,1,1,1,0
258,CA,$5B to $10B (USD),1,0,1,0,1
259,TN,Missing,0,0,0,0,0
260,PA,Missing,1,1,0,1,1
261,GA,Missing,1,1,1,0,0
262,IL,Missing,1,1,1,0,0
263,VA,Missing,0,0,0,0,0
264,CO,Missing,1,1,1,0,0
265,NY,Missing,1,1,1,0,0
266,MA,More than $10B (USD),1,1,1,1,0
267,CA,Missing,1,0,1,0,0
268,TX,Missing,0,0,1,1,0
269,CA,Missing,0,0,1,0,0
270,NY,$1B to $5B (USD),0,1,1,0,1
271,MA,Missing,1,0,1,1,0
272,CA,Missing,1,0,1,0,0
273,VA,Missing,1,1,1,1,0
274,MA,Missing,1,0,1,0,0
275,NY,Missing,1,1,1,0,0
276,OR,More than $10B (USD),1,0,1,0,0
277,IL,Missing,1,1,1,0,0
278,CA,$1B to $5B (USD),0,1,0,0,1
279,VA,Missing,1,1,0,1,1
280,GA,Missing,1,1,1,0,0
281,FL,Missing,1,1,1,1,0
282,KS,Less than $1B (USD),1,0,0,0,0
283,CA,More than $10B (USD),1,1,0,1,1
284,MA,Missing,1,1,1,0,0
285,TX,$1B to $5B (USD),1,0,0,1,0
286,OR,More than $10B (USD),1,0,1,0,0
287,WA,Missing,1,1,1,1,0
288,MA,Missing,0,0,0,0,0
289,OR,Missing,1,1,1,1,0
290,MA,$5B to $10B (USD),0,0,0,0,0
291,TX,Missing,1,1,1,1,1
292,AZ,Missing,0,0,0,0,0
293,TX,More than $10B (USD),1,1,1,0,1
294,FL,Missing,1,1,0,0,1
295,TX,Missing,1,1,0,1,1
296,MA,Missing,0,0,1,0,0
297,KS,More than $10B (USD),0,0,0,1,1
298,NJ,Missing,1,0,0,1,0
299,NJ,Missing,1,0,0,1,0
300,CA,Missing,0,0,0,0,0
301,USA,More than $10B (USD),1,0,1,0,0
302,MI,$5B to $10B (USD),1,1,1,1,0
303,IN,Missing,0,1,0,0,0
304,OR,Missing,1,1,0,1,0
305,CA,Missing,1,1,0,0,0
306,NJ,More than $10B (USD),0,0,1,0,0
307,USA,More than $10B (USD),1,1,1,1,1
308,CA,Missing,0,0,0,0,0
309,TX,Missing,1,0,1,1,0
310,MA,Missing,1,0,1,1,0
311,WA,More than $10B (USD),1,0,0,1,1
312,CA,Missing,1,0,1,1,0
313,CA,Less than $1B (USD),1,1,1,1,0
314,VA,Missing,0,0,0,0,0
315,GA,Missing,1,0,1,0,0
316,TX,Missing,1,1,0,1,1
317,WA,Less than $1B (USD),1,1,0,1,0
318,WA,$5B to $10B (USD),1,1,1,1,1
319,IA,Missing,1,0,1,1,0
320,KY,Missing,1,1,1,1,0
321,FL,Missing,1,0,1,1,1
322,AR,More than $10B (USD),1,1,0,1,1
323,GA,Missing,1,1,1,1,1
324,TX,$1B to $5B (USD),1,0,0,1,0
325,CA,More than $10B (USD),0,1,0,1,0
326,CA,Missing,1,1,0,1,0
327,CT,Missing,1,1,0,1,0
328,MN,Missing,0,0,0,0,0
329,GA,More than $10B (USD),1,0,1,1,1
330,GA,More than $10B (USD),1,0,1,1,1
331,IL,Missing,1,0,1,1,0
332,FL,Missing,1,1,0,1,0
333,MN,Missing,0,0,0,0,0
334,SC,More than $10B (USD),0,0,1,0,0
335,GA,Missing,1,1,1,1,1
336,REMOTE,Missing,0,1,1,0,0
337,VA,Less than $1B (USD),0,0,1,0,0
338,OH,More than $10B (USD),1,0,1,1,0
339,CA,More than $10B (USD),1,1,1,1,0
340,MI,Missing,1,0,0,0,0
341,NC,More than $10B (USD),1,1,0,1,0
342,AR,More than $10B (USD),0,0,0,1,1
343,NE,Missing,1,0,1,1,0
344,FL,Missing,1,0,1,0,1
345,AR,Missing,0,0,0,0,0
346,NY,Missing,1,1,1,1,0
347,USA,More than $10B (USD),1,1,0,1,1
348,TX,Missing,1,0,1,1,0
349,TX,Missing,0,0,1,0,0
350,CA,Missing,0,0,1,0,0
351,OH,$1B to $5B (USD),0,0,0,0,0
352,MI,Missing,0,1,0,1,1
353,GA,Missing,1,0,1,1,0
354,NY,More than $10B (USD),1,1,1,1,0
355,TX,Missing,1,0,1,1,0
356,DC,Missing,1,0,1,1,0
357,GA,$5B to $10B (USD),0,0,0,0,0
358,MD,Missing,0,0,0,0,0
359,NE,Missing,1,0,1,1,0
360,NY,$5B to $10B (USD),0,0,1,1,0
361,TX,Missing,0,1,1,1,0
362,IL,Missing,0,0,1,1,0
363,MD,$5B to $10B (USD),1,0,0,1,0
364,GA,More than $10B (USD),0,0,1,0,0
365,WA,More than $10B (USD),1,1,1,1,1
366,CA,Missing,1,1,1,1,0
367,IA,Missing,1,0,1,1,0
368,MA,$1B to $5B (USD),1,0,1,1,0
369,PA,$5B to $10B (USD),1,0,1,0,0
370,MN,More than $10B (USD),1,0,1,0,0
371,MO,Missing,1,0,1,1,0
372,CA,Missing,0,0,0,0,0
373,CO,Missing,1,1,1,1,1
374,OH,Missing,0,0,1,0,0
375,CA,Missing,0,1,0,1,0
376,MO,Missing,1,0,1,1,0
377,IL,Missing,0,0,0,0,0
378,MI,Missing,1,0,1,1,0
379,KS,$1B to $5B (USD),1,1,0,1,1
380,MA,More than $10B (USD),1,0,0,0,1
381,GA,More than $10B (USD),0,0,1,0,1
382,FL,More than $10B (USD),1,1,0,1,0
383,VA,$5B to $10B (USD),1,0,1,1,0
384,WA,Less than $1B (USD),1,1,1,1,0
