Job_Title,Queried_Salary,Job_Type,Skill,No_of_Skills,Company,No_of_Reviews,No_of_Stars,Location,Company_Revenue,Company_Employees,Company_Industry,python,sql,machine learning,r,hadoop,tableau,sas,spark,java,Others,CA,NY,VA,TX,MA,IL,WA,MD,DC,NC,Other_states,Consulting and Business Services,Internet and Software,Banks and Financial Services,Health Care,Insurance,Other_industries
Data Scientist,<80000,data_scientist,"['SAP', 'SQL']",2,Express Scripts,3301,3,MO,More than $10B (USD),"10,000+",Health Care,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Data Scientist,<80000,data_scientist,"['Machine Learning', 'R', 'SAS', 'SQL', 'Python']",5,Money Mart Financial Services,0,0,TX,Missing,missing,Not Listed,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,<80000,data_scientist,"['Data Mining', 'Data Management', 'R', 'SAS', 'SQL', 'STATA', 'SPSS', 'Data Analysis', 'Python']",9,comScore,62,4,OR,Missing,missing,Not Listed,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Graduate Studies Program - Data Scientist,<80000,data_scientist,['Certified Internal Auditor'],1,Central Intelligence Agency,158,4,DC,Missing,missing,Government,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Data Scientist I,<80000,data_scientist,"['Statistical Software', 'Time Management', 'R', 'Microsoft Office', 'Excel', 'Tableau', 'Data Science']",7,Federal Reserve Bank of Dallas,495,4,TX,Missing,"Less than 10,000",Banks and Financial Services,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Data Scientist - Entry to Experienced Level,<80000,data_scientist,"['AI', 'Quantitative Analysis', 'Data Mining', 'Machine Learning', 'Analysis Skills', 'CSS']",6,National Security Agency,173,4,MD,Missing,missing,Not Listed,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Geospatial Data Scientist,<80000,data_scientist,"['Statistical Software', 'Machine Learning', 'R', 'Image Processing', 'SQL', 'Cloud Computing', 'ArcGIS', 'GIS', 'Python', 'AWS']",10,NYC Careers,30,4,NY,Missing,missing,Government,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Data Scientist,<80000,data_scientist,"['Machine Learning', 'R', 'SQL']",3,OM Partners,0,0,GA,Missing,missing,Not Listed,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bioinformatics Data Scientist,<80000,data_scientist,"['Linux', 'R', 'C/C++', 'Python']",4,University of Idaho,233,4,ID,Missing,missing,Education and Schools,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Data Scientist,<80000,data_scientist,"['JavaScript', 'Data Mining', 'TS/SCI Clearance', 'R', 'C/C++', 'Python']",6,usajobs.gov,4227,4,MO,Missing,"10,000+",Government,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
