Unnamed: 0,Location,Company_Revenue,python,sql,machine learning,r,hadoop,Job_Title,Queried_Salary,Job_Type,Skill,No_of_Skills,Company,No_of_Stars,No_of_Reviews,Company_Industry,IL,WA,MD,DC,NC,Other_states,Consulting and Business Services,Internet and Software,Banks and Financial Services,Health Care,Insurance,Other_industries,Company_Employees,tableau,sas,spark,java,Others,CA,NY,VA,TX,MA
0,MO,More than $10B (USD),0,1,0,0,0,Data Scientist,<80000,data_scientist,"['SAP', 'SQL']",2,Express Scripts,3,3301.0,Health Care,0,0,0,0,0,1,0,0,0,1,0,0,"10,000+",0,0,0,0,1,0,0,0,0,0
1,TX,Missing,1,1,1,1,0,Data Scientist,<80000,data_scientist,"['Machine Learning', 'R', 'SAS', 'SQL', 'Python']",5,Money Mart Financial Services,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,1,0,0,0,0,0,0,1,0
2,OR,Missing,1,1,0,1,0,Data Scientist,<80000,data_scientist,"['Data Mining', 'Data Management', 'R', 'SAS', 'SQL', 'STATA', 'SPSS', 'Data Analysis', 'Python']",9,comScore,4,62.0,Not Listed,0,0,0,0,0,1,0,0,0,0,0,0,missing,0,1,0,0,1,0,0,0,0,0
3,DC,Missing,0,0,0,0,0,Graduate Studies Program - Data Scientist,<80000,data_scientist,['Certified Internal Auditor'],1,Central Intelligence Agency,4,158.0,Government,0,0,0,1,0,0,0,0,0,0,0,1,missing,0,0,0,0,1,0,0,0,0,0
4,TX,Missing,0,0,0,1,0,Data Scientist I,<80000,data_scientist,"['Statistical Software', 'Time Management', 'R', 'Microsoft Office', 'Excel', 'Tableau', 'Data Science']",7,Federal Reserve Bank of Dallas,4,495.0,Banks and Financial Services,0,0,0,0,0,0,0,0,1,0,0,0,"Less than 10,000",1,0,0,0,1,0,0,0,1,0
5,MD,Missing,0,0,1,0,0,Data Scientist - Entry to Experienced Level,<80000,data_scientist,"['AI', 'Quantitative Analysis', 'Data Mining', 'Machine Learning', 'Analysis Skills', 'CSS']",6,National Security Agency,4,173.0,Not Listed,0,0,1,0,0,0,0,0,0,0,0,0,missing,0,0,0,0,1,0,0,0,0,0
6,NY,Missing,1,1,1,1,0,Geospatial Data Scientist,<80000,data_scientist,"['Statistical Software', 'Machine Learning', 'R', 'Image Processing', 'SQL', 'Cloud Computing', 'ArcGIS', 'GIS', 'Python', 'AWS']",10,NYC Careers,4,30.0,Government,0,0,0,0,0,0,0,0,0,0,0,1,missing,0,0,0,0,1,0,1,0,0,0
7,GA,Missing,0,1,1,1,0,Data Scientist,<80000,data_scientist,"['Machine Learning', 'R', 'SQL']",3,OM Partners,0,0.0,Not Listed,0,0,0,0,0,1,0,0,0,0,0,0,missing,0,0,0,0,0,0,0,0,0,0
8,ID,Missing,1,0,0,1,0,Bioinformatics Data Scientist,<80000,data_scientist,"['Linux', 'R', 'C/C++', 'Python']",4,University of Idaho,4,233.0,Education and Schools,0,0,0,0,0,1,0,0,0,0,0,1,missing,0,0,0,0,1,0,0,0,0,0
9,MO,Missing,1,0,0,1,0,Data Scientist,<80000,data_scientist,"['JavaScript', 'Data Mining', 'TS/SCI Clearance', 'R', 'C/C++', 'Python']",6,usajobs.gov,4,4227.0,Government,0,0,0,0,0,1,0,0,0,0,0,1,"10,000+",0,0,0,0,1,0,0,0,0,0
10,PA,Missing,1,0,1,1,0,Data Scientist,<80000,data_scientist,"['Machine Learning', 'R', 'SPSS', 'Data Analysis', 'Statistical Software', 'Data Mining', 'SAS', 'Python']",8,The University of Pittsburgh,4,541.0,Education and Schools,0,0,0,0,0,1,0,0,0,0,0,1,missing,0,1,0,0,1,0,0,0,0,0
11,PA,Missing,1,0,1,1,0,Data Scientist,<80000,data_scientist,"['Machine Learning', 'R', 'SPSS', 'Data Analysis', 'Statistical Software', 'Data Mining', 'SAS', 'Python']",8,The University of Pittsburgh,4,541.0,Education and Schools,0,0,0,0,0,1,0,0,0,0,0,1,missing,0,1,0,0,1,0,0,0,0,0
12,TX,Less than $1B (USD),0,0,1,0,0,Data Scientist,<80000,data_scientist,"['Machine Learning', 'Analysis Skills', 'Data Science']",3,Rice University,4,150.0,Education and Schools,0,0,0,0,0,0,0,0,0,0,0,1,"Less than 10,000",0,0,0,0,1,0,0,0,1,0
13,GA,Missing,1,0,1,0,0,Jr. Data Scientist - Machine Learning,<80000,data_scientist,"['Machine Learning', 'Python']",2,Elev8 Hire Solutions,0,0.0,Not Listed,0,0,0,0,0,1,0,0,0,0,0,0,missing,0,0,0,0,0,0,0,0,0,0
14,GA,Less than $1B (USD),1,0,1,0,0,Data Scientist,<80000,data_scientist,"['TensorFlow', 'Project Planning', 'Linux', 'Machine Learning', 'C/C++', 'Python', 'Jira']",7,Catalina Marketing,3,81.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0,"Less than 10,000",0,0,0,0,1,0,0,0,0,0
15,FL,Missing,1,0,1,1,0,Enrollment Data Scientist & Econometrician,<80000,data_scientist,"['Machine Learning', 'R', 'Statisical Analysis', 'SPSS', 'Statistical Software', 'Data Mining', 'Scala', 'Tableau', 'Java', '""Drivers License""', 'Python']",11,Florida Polytechnic University,4,16.0,Education and Schools,0,0,0,0,0,1,0,0,0,0,0,1,"Less than 10,000",1,0,0,1,1,0,0,0,0,0
16,MA,Missing,1,1,1,1,0,Junior Data Scientist,<80000,data_scientist,"['Machine Learning', 'R', 'SQL', 'Analysis Skills', 'Python', 'Data Science']",6,Achievement Network (ANet),0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,0,1,0,0,0,0,1
17,VA,Missing,1,1,1,1,0,Data Scientist,<80000,data_scientist,"['Microsoft SQL Server', 'Data Mining', 'Machine Learning', 'Visual Basic', 'R', 'SAS', 'SQL', 'Excel', 'Tableau', 'Microsoft Access', 'SPSS', 'Python']",12,Deloitte,4,7197.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0,"10,000+",1,1,0,0,1,0,0,1,0,0
18,NJ,More than $10B (USD),0,0,1,0,0,Data Analytics and Machine Learning Specialist,<80000,data_scientist,['Machine Learning'],1,ExxonMobil,4,2234.0,Energy and Utilities,0,0,0,0,0,1,0,0,0,0,0,1,"10,000+",0,0,0,0,0,0,0,0,0,0
19,MA,Missing,0,0,1,0,0,"Postdoctoral Associate/Data Scientist, Laboratory for Multis...",<80000,data_scientist,"['LMRT', 'Machine Learning']",2,MIT,4,278.0,Education and Schools,0,0,0,0,0,0,0,0,0,0,0,1,missing,0,0,0,0,1,0,0,0,0,1
