,Job_Title,Queried_Salary,Job_Type,Skill,No_of_Skills,Company,No_of_Stars
0,Data Scientist,<80000,data_scientist,"['SAP', 'SQL']",2,Express Scripts,3
1,Data Scientist,<80000,data_scientist,"['Machine Learning', 'R', 'SAS', 'SQL', 'Python']",5,Money Mart Financial Services,0
2,Data Scientist,<80000,data_scientist,"['Data Mining', 'Data Management', 'R', 'SAS', 'SQL', 'STATA', 'SPSS', 'Data Analysis', 'Python']",9,comScore,4
3,Graduate Studies Program - Data Scientist,<80000,data_scientist,['Certified Internal Auditor'],1,Central Intelligence Agency,4
4,Data Scientist I,<80000,data_scientist,"['Statistical Software', 'Time Management', 'R', 'Microsoft Office', 'Excel', 'Tableau', 'Data Science']",7,Federal Reserve Bank of Dallas,4
5,Data Scientist - Entry to Experienced Level,<80000,data_scientist,"['AI', 'Quantitative Analysis', 'Data Mining', 'Machine Learning', 'Analysis Skills', 'CSS']",6,National Security Agency,4
6,Geospatial Data Scientist,<80000,data_scientist,"['Statistical Software', 'Machine Learning', 'R', 'Image Processing', 'SQL', 'Cloud Computing', 'ArcGIS', 'GIS', 'Python', 'AWS']",10,NYC Careers,4
7,Data Scientist,<80000,data_scientist,"['Machine Learning', 'R', 'SQL']",3,OM Partners,0
8,Bioinformatics Data Scientist,<80000,data_scientist,"['Linux', 'R', 'C/C++', 'Python']",4,University of Idaho,4
9,Data Scientist,<80000,data_scientist,"['JavaScript', 'Data Mining', 'TS/SCI Clearance', 'R', 'C/C++', 'Python']",6,usajobs.gov,4
10,Data Scientist,<80000,data_scientist,"['Machine Learning', 'R', 'SPSS', 'Data Analysis', 'Statistical Software', 'Data Mining', 'SAS', 'Python']",8,The University of Pittsburgh,4
11,Data Scientist,<80000,data_scientist,"['Machine Learning', 'R', 'SPSS', 'Data Analysis', 'Statistical Software', 'Data Mining', 'SAS', 'Python']",8,The University of Pittsburgh,4
12,Data Scientist,<80000,data_scientist,"['Machine Learning', 'Analysis Skills', 'Data Science']",3,Rice University,4
13,Jr. Data Scientist - Machine Learning,<80000,data_scientist,"['Machine Learning', 'Python']",2,Elev8 Hire Solutions,0
14,Data Scientist,<80000,data_scientist,"['TensorFlow', 'Project Planning', 'Linux', 'Machine Learning', 'C/C++', 'Python', 'Jira']",7,Catalina Marketing,3
15,Enrollment Data Scientist & Econometrician,<80000,data_scientist,"['Machine Learning', 'R', 'Statisical Analysis', 'SPSS', 'Statistical Software', 'Data Mining', 'Scala', 'Tableau', 'Java', '""Drivers License""', 'Python']",11,Florida Polytechnic University,4
16,Junior Data Scientist,<80000,data_scientist,"['Machine Learning', 'R', 'SQL', 'Analysis Skills', 'Python', 'Data Science']",6,Achievement Network (ANet),0
17,Data Scientist,<80000,data_scientist,"['Microsoft SQL Server', 'Data Mining', 'Machine Learning', 'Visual Basic', 'R', 'SAS', 'SQL', 'Excel', 'Tableau', 'Microsoft Access', 'SPSS', 'Python']",12,Deloitte,4
18,Data Analytics and Machine Learning Specialist,<80000,data_scientist,['Machine Learning'],1,ExxonMobil,4
19,"Postdoctoral Associate/Data Scientist, Laboratory for Multis...",<80000,data_scientist,"['LMRT', 'Machine Learning']",2,MIT,4
