,No_of_Reviews,Company_Industry,IL,WA,MD,DC,NC,Other_states,Consulting and Business Services,Internet and Software,Banks and Financial Services,Health Care,Insurance,Other_industries
0,3301.0,Health Care,0,0,0,0,0,1,0,0,0,1,0,0
1,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
2,62.0,,0,0,0,0,0,1,0,0,0,0,0,0
3,158.0,Government,0,0,0,1,0,0,0,0,0,0,0,1
4,495.0,Banks and Financial Services,0,0,0,0,0,0,0,0,1,0,0,0
5,173.0,,0,0,1,0,0,0,0,0,0,0,0,0
6,30.0,Government,0,0,0,0,0,0,0,0,0,0,0,1
7,0.0,,0,0,0,0,0,1,0,0,0,0,0,0
8,233.0,Education and Schools,0,0,0,0,0,1,0,0,0,0,0,1
9,4227.0,Government,0,0,0,0,0,1,0,0,0,0,0,1
10,541.0,Education and Schools,0,0,0,0,0,1,0,0,0,0,0,1
11,541.0,Education and Schools,0,0,0,0,0,1,0,0,0,0,0,1
12,150.0,Education and Schools,0,0,0,0,0,0,0,0,0,0,0,1
13,0.0,,0,0,0,0,0,1,0,0,0,0,0,0
14,81.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0
15,16.0,Education and Schools,0,0,0,0,0,1,0,0,0,0,0,1
16,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
17,7197.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0
18,2234.0,Energy and Utilities,0,0,0,0,0,1,0,0,0,0,0,1
19,278.0,Education and Schools,0,0,0,0,0,0,0,0,0,0,0,1
20,1299.0,Health Care,0,0,0,0,0,1,0,0,0,1,0,0
21,3166.0,Aerospace and Defense,0,0,0,0,0,1,0,0,0,0,0,1
22,3166.0,Aerospace and Defense,0,0,0,0,0,1,0,0,0,0,0,1
23,265.0,Government,0,0,0,0,0,0,0,0,0,0,0,1
24,86.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0
25,7197.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0
26,1299.0,Health Care,0,0,0,0,0,1,0,0,0,1,0,0
27,2641.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0
28,2641.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0
29,111.0,Government,0,0,0,0,0,0,0,0,0,0,0,1
30,484.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0
31,95.0,,0,0,0,0,0,1,0,0,0,0,0,0
32,2641.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0
33,930.0,Education and Schools,0,0,0,0,0,1,0,0,0,0,0,1
34,2641.0,Internet and Software,0,1,0,0,0,0,0,1,0,0,0,0
35,30.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0
36,126.0,Education and Schools,0,0,0,0,0,0,0,0,0,0,0,1
37,5178.0,Internet and Software,0,1,0,0,0,0,0,1,0,0,0,0
38,191.0,Health Care,0,0,0,0,1,0,0,0,0,1,0,0
39,191.0,Health Care,0,0,0,0,1,0,0,0,0,1,0,0
40,165.0,Transport and Freight,1,0,0,0,0,0,0,0,0,0,0,1
41,63.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0
42,39.0,,0,0,0,0,0,0,0,0,0,0,0,0
43,63.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0
44,0.0,,0,0,0,0,0,1,0,0,0,0,0,0
45,1324.0,Organization,0,0,0,0,0,1,0,0,0,0,0,1
46,15.0,Aerospace and Defense,0,0,0,0,0,1,0,0,0,0,0,1
