,Location,Company_Revenue,python,sql,machine learning,r,hadoop
0,MO,More than $10B (USD),0,1,0,0,0
1,TX,None Listed,1,1,1,1,0
2,OR,None Listed,1,1,0,1,0
3,DC,None Listed,0,0,0,0,0
4,TX,None Listed,0,0,0,1,0
5,MD,None Listed,0,0,1,0,0
6,NY,None Listed,1,1,1,1,0
7,GA,None Listed,0,1,1,1,0
8,ID,None Listed,1,0,0,1,0
9,MO,None Listed,1,0,0,1,0
10,PA,None Listed,1,0,1,1,0
11,PA,None Listed,1,0,1,1,0
12,TX,Less than $1B (USD),0,0,1,0,0
13,GA,None Listed,1,0,1,0,0
14,GA,Less than $1B (USD),1,0,1,0,0
15,FL,None Listed,1,0,1,1,0
16,MA,None Listed,1,1,1,1,0
17,VA,None Listed,1,1,1,1,0
18,NJ,More than $10B (USD),0,0,1,0,0
19,MA,None Listed,0,0,1,0,0
20,LA,None Listed,1,0,1,1,0
21,MO,More than $10B (USD),0,0,0,0,0
22,MO,More than $10B (USD),0,0,0,0,0
23,NY,None Listed,0,1,0,0,0
24,GA,None Listed,0,1,0,0,0
25,VA,None Listed,1,0,0,1,0
26,LA,None Listed,1,0,1,1,0
27,NY,More than $10B (USD),0,0,0,0,0
28,MA,More than $10B (USD),0,0,0,0,0
29,CA,$1B to $5B (USD),1,0,1,0,0
30,CA,$5B to $10B (USD),0,0,1,0,0
31,GA,None Listed,1,1,1,1,0
32,CA,More than $10B (USD),0,0,0,0,0
33,MN,None Listed,1,1,1,1,0
34,WA,More than $10B (USD),0,0,0,0,0
35,CA,None Listed,0,0,1,0,0
36,TX,None Listed,0,0,0,0,0
37,WA,More than $10B (USD),1,0,1,0,1
38,NC,None Listed,0,0,0,0,0
39,NC,None Listed,1,1,0,1,0
40,IL,None Listed,1,1,1,1,0
41,CA,$1B to $5B (USD),0,0,1,0,1
42,CA,None Listed,1,0,1,0,0
43,NY,$1B to $5B (USD),0,0,1,0,1
44,CO,None Listed,0,0,1,0,0
45,UT,None Listed,0,0,1,0,0
46,OH,Less than $1B (USD),1,0,1,0,0
47,CA,None Listed,0,0,1,0,0
48,USA,None Listed,1,0,1,1,0
49,OR,None Listed,0,0,0,0,0
50,WA,More than $10B (USD),0,0,0,0,0
51,TX,More than $10B (USD),0,1,0,1,0
52,OH,None Listed,0,0,0,0,0
53,FL,$1B to $5B (USD),0,0,1,0,0
54,IL,None Listed,0,0,1,0,0
55,AR,More than $10B (USD),0,1,0,1,0
56,VA,None Listed,0,0,0,0,0
57,WA,More than $10B (USD),1,1,1,1,0
58,TX,More than $10B (USD),1,1,0,1,0
59,VA,None Listed,0,0,0,0,0
60,PA,$5B to $10B (USD),1,1,1,1,0
61,MO,$1B to $5B (USD),1,1,1,1,1
62,NC,More than $10B (USD),1,0,1,1,1
